income,cost,label
2294941,10241988752,1
2938066,11415260932,1
3176158,4984480322,0
2336481,8619956970,1
2529868,4165486266,0
2490384,4401023950,0
2530566,8611729470,1
2418718,10527101179,1
2451280,9391911599,1
2363880,6306018268,2
2278451,6682557916,2
2438245,4815384320,0
2581609,5211130842,0
2672231,6383750046,2
2702884,10032258155,1
2240428,6144217055,2
2235908,8175634219,2
2220446,8286554391,2
2190949,7054540727,2
2446795,5111612914,0
2409399,7822582561,2
2719245,10670922476,1
2543392,8810469856,1
2449744,6681909087,2
2905160,1764501112,0
2354362,5683508992,2
2568175,8666221867,1
2543705,6971736050,2
3233177,5558647148,0
3157589,5715266541,2
2226329,6164852036,2
2657449,7375623127,2
4125554,5341149670,0
3615325,7505833647,2
3015945,3658185935,0
2404858,4284825275,0
2479978,5445003644,0
2721759,7522899822,2
2590870,8300969960,2
2505175,7610307759,2
2446011,9139642138,1
2639326,11121214562,1
3290590,6661932267,2
2781237,9476371860,1
2931621,9002104544,1
3850571,4175329847,0
3114732,6798703300,2
2875145,12533298587,3
2598478,6487763144,2
2446280,14578244271,3
2250375,9504630504,1
2617679,7719993171,2
2502358,4992577782,0
2373805,5073230190,0
2540568,7780131962,2
2227513,6119040173,2
3388181,8168258109,2
2693112,6792651540,2
2610644,7096638197,2
2590481,7587930351,2
2631200,7565209472,2
2979717,5051945193,0
2700300,7942431601,2
2616763,6215419500,2
2573645,8214415389,2
2508569,7388124049,2
3139639,8611358288,1
3460833,8334081986,1
3438671,9903260683,1
2636612,5223018036,0
2545647,12424695902,3
2418073,11992937441,3
2467843,10803783993,1
3423914,8164545127,2
3365539,6919163012,2
2461193,9615264428,1
3281493,14112498763,3
2398905,13794017691,3
2559551,11564674790,3
3124099,11731959526,3
2367803,13912346929,3
2461216,11718245664,3
2428145,13798051539,3
3228138,10009591772,1
4090812,9076593994,1
4103617,9631515040,1
3626186,2829327829,0
3252026,6977089835,2
2920545,10903437914,1
2897277,10607234766,1
2763312,10684679490,1
3283428,3681943510,0
2870726,8115826430,2
2485990,10438202941,1
2883087,9024106186,1
2870617,7899024506,2
3347770,7438509918,2
2498268,11291988433,1
3027873,5665406575,2
2427630,15943709862,3
2510153,10307208086,1
2985292,6040481019,2
3577461,10290282967,1
4085339,11484455933,1
3426399,10985747962,1
3215254,7722342129,2
3434052,5644683860,2
4437798,4141531901,0
2833945,8554340070,1
2373807,12038042566,3
2393448,12457216984,3
2428437,16363257072,3
2499778,13370556128,3
2654083,6520495548,2
2616514,10011913142,1
2495091,13989206093,3
2441731,12363267973,3
2458281,14322583389,3
2534644,13667275567,3
3060716,9737328551,1
3119920,11384983399,1
3706704,11811112023,3
4106203,7273548185,2
2483062,10827876159,1
2510957,14132146281,3
2454112,20564269880,3
2480344,15099820706,3
2486455,22965248699,3
2475736,15675537922,3
2429238,18256301475,3
2246866,6587426001,2
2706741,5299553523,0
2381872,5601587814,2
2462631,9022942889,1
2540948,11147829219,1
2803905,7337932357,2
2810879,9159900360,1
3974233,7225832277,2
4420175,6535279967,2
3886139,6785644121,2
3025927,9819778446,1
3368494,7433157077,2
2571016,9736683854,1
2531670,9122686318,1
2857864,11393231249,1
2455645,9854748981,1
2848395,7628544466,2
2529776,8896084937,1
4590201,10538065187,1
5056080,8148775777,2
4498738,9408292523,1
4245392,7660787389,2
3158114,12656623783,3
3618739,9039608706,1
3135293,9823833897,1
2860393,11953122131,3
3574480,10820710123,1
3275074,2973664241,0
2781973,11114307381,1
3591332,8709374540,1
2935585,8023845818,2
5152321,6087068447,2
5354972,10420226318,1
3643911,5151027140,0
3394689,4004198309,0
2978776,6105406393,2
2409856,7817088279,2
2234216,6552341101,2
2155374,6179054191,2
2359412,9974926363,1
2206030,10819343100,1
2252672,10379908633,1
2342204,8028270979,2
2392516,11435821428,1
2078238,4108877737,0
3093083,10065756064,1
4910763,8208486551,2
3635662,7809096391,2
3370151,10449069400,1
3065083,10979966122,1
2833827,12166899840,3
2730997,9512898256,1
2843618,10284772312,1
2757454,10734478788,1
2906732,8984379554,1
3543775,5934811755,2
2759898,4262039822,0
2775471,4708507293,0
3473262,5652356328,2
3163437,8921706263,1
3957639,5847413345,2
4602233,4684563404,0
3774433,5531703330,0
3533854,5701634544,2
4270151,4565903187,0
4104569,5835130463,2
3291377,4819563138,0
2897795,11038024794,1
3051109,6297122823,2
2822037,10603197061,1
2945229,8465512138,1
4334132,8050502095,2
2938743,9450984441,1
3320361,8065589664,2
3390904,6158537211,2
2831839,12663547962,3
2784325,10477337118,1
3761597,9584063161,1
4518535,6279397314,2
4825434,8633496955,1
4638050,6164012372,2
3141482,6997466476,2
3072325,8149975912,2
3099360,6377537664,2
2960889,7557452215,2
2962865,8536399236,1
2920289,5489938755,0
3814238,9140973266,1
4991948,6297199704,2
4557694,8452791353,1
4420664,10535577240,1
2678818,4885811837,0
2978451,7195785216,2
3859621,6602332994,2
3005260,5847903542,2
2815501,5343203513,0
3298699,4902622799,0
3030276,6807964467,2
4904022,3173683838,0
4396554,4134665933,0
3844279,6635743275,2
2749107,7608031637,2
2866381,15607051719,3
2929533,10986212621,1
3024853,8270640157,2
2506216,11408630373,1
3306496,5310549338,0
3089062,5736771198,2
3859751,7498772859,2
3037628,8119719737,2
3313807,8991817471,1
3321253,5823866594,2
3137710,6749832951,2
4017761,14220865201,3
2507877,8049789454,2
4121525,9139250518,1
3908633,10503736568,1
2349621,9190848348,1
2427287,9487186905,1
2814839,8990225050,1
2503636,9521868854,1
2513721,14107302604,3
2535677,14738447697,3
3091859,8015443400,2
2706871,6759915294,2
2681938,6042490361,2
2515691,13901794237,3
2574875,7935756156,2
2705697,7079902712,2
2555902,7935192412,2
2699121,10689481504,1
3070292,7588403485,2
2903837,5903661355,2
2421742,6218934738,2
2338495,5015499802,0
2601357,11414163814,1
2507108,12544128642,3
3451230,6548666683,2
2678634,10681095594,1
2759390,10010639330,1
2471319,14055095943,3
2377593,6898602966,2
2492457,12987780097,3
2476981,8691995038,1
2390091,7575045071,2
2517620,6797417165,2
2744597,11049961848,1
2526108,11794836559,3
2508429,13147800080,3
2512990,11845901652,3
2526917,14876596363,3
2484350,13413673930,3
2431557,12539055817,3
2725048,14154647730,3
2313506,2919106865,0
2499341,13820106622,3
2609923,9241403625,1
2465138,10217150489,1
2586733,12870743393,3
2447039,10480102168,1
2573420,10990521380,1
2675153,10778285937,1
2367999,10950398275,1
2427889,9815978102,1
2568519,10185630041,1
2911666,7955571980,2
2835924,5986196032,2
2480592,10246196062,1
3096777,5369322908,0
3265240,11604103070,3
3096541,4895030879,0
2637557,12138972734,3
2673932,10554424260,1
3352569,4250110840,0
3334996,9976632601,1
2316593,7680997846,2
2524395,6971274944,2
2171985,5858104174,2
2361810,3536024145,0
2268226,8581159470,1
2469328,9514150601,1
3201814,5148471382,0
2302901,7673829773,2
2743332,3976360443,0
2476618,1733011768,0
2697372,5708713980,2
2518816,4835237990,0
2261949,5991656942,2
2327386,6225893313,2
2290831,8711602698,1
2341873,7048446619,2
2413240,10036200007,1
2634177,9351994369,1
2304561,7775730091,2
2136491,8087587004,2
2080213,8862501767,1
2179228,8454364263,1
2249549,8052952168,2
3543261,6885040479,2
2366622,9627491301,1
2472521,6612092745,2
2183192,5319206911,0
2439873,7314316657,2
2343876,7129918692,2
2313132,6573931580,2
2506066,7208430926,2
2434644,6783388205,2
2309405,9656496268,1
2296811,9039075202,1
2300360,7300088730,2
2309438,7411458826,2
2738888,5773514465,2
2273431,8322237355,1
2285217,7674797005,2
2345259,8707392419,1
2269328,6998631968,2
2316196,9492954457,1
2268097,10714198196,1
2219843,9637259269,1
2209045,9206557367,1
2709338,11633723492,3
3176237,10689489873,1
2900281,8034245550,2
3589322,6761993344,2
2242802,9134388112,1
2296209,5652784720,2
2252583,1907507869,0
2336112,7833137161,2
2319844,7451255425,2
2274479,8558079736,1
2336391,6130428568,2
3187989,4411984194,0
2299773,6798966480,2
2318438,5361301795,0
2314731,7519408394,2
2595095,7549638046,2
2434366,9607070673,1
2282229,4599058672,0
3108297,5719714953,2
3113492,8687603419,1
3011053,7328829663,2
3502743,4871675314,0
3253448,5754667784,2
2260982,4990512357,0
3223629,4871061260,0
3097526,4476053529,0
3225489,7192008898,2
3083621,4179313994,0
3335909,6844022285,2
3762399,7179231130,2
3283644,7667980782,2
3082508,9085937371,1
2741525,1743401823,0
3355209,11842475922,3
3338064,6179246740,2
2416795,5235197988,0
2956757,4803914725,0
2880113,6761967209,2
2763702,4728077231,0
3217872,4167300396,0
2859760,1500715920,0
2526450,6335985381,2
2887406,4434438904,0
2900097,7689974485,2
2953648,7023642075,2
2958884,5076454434,0
2612702,7524520794,2
3268617,8799754858,1
2376181,6107318140,2
2870075,4829642718,0
4202744,9580987503,1
3356817,5129695265,0
2921261,4289020301,0
3156459,4051432058,0
2722419,4142147520,0
3081658,5780227845,2
2821341,5504916730,0
2768338,7277801431,2
3198150,10228728551,1
2738439,2532828056,0
3074920,2962504513,0
3165618,5968034625,2
3727577,5595291909,2
3762245,7536524907,2
2979484,4853555020,0
2611811,5172840035,0
2312423,6044000852,2
2695629,7061453433,2
2280218,5304063865,0
2609962,4748161149,0
4394376,6650185286,2
2367471,6761107745,2
2292707,6547909529,2
2480251,7363546360,2
2357811,5371486967,0
2226494,7986901797,2
3166776,8639613719,1
2427831,8111423837,2
2585163,7585505558,2
2918487,10045482748,1
2189088,8013530951,2
2512685,9309615352,1
2431413,7944748097,2
2368176,11300389668,1
2276776,8939550281,1
2279469,7406297437,2
2336060,7117521386,2
2332659,8252083762,2
2366539,6231760978,2
2603697,7425408928,2
2433741,6253778344,2
2448490,4816915850,0
2190626,7817972864,2
2733966,7572535726,2
2692727,13249089647,3
2448629,6154364320,2
2302191,7624294145,2
2249229,5858169155,2
2266646,8212252117,2
2493659,9625891157,1
2456502,9057401174,1
2520638,11078028573,1
2315529,8486489345,1
2293576,10163724871,1
2589118,6065994828,2
2776528,10293965875,1
3003345,5357739455,0
2265792,12180559271,3
2338925,9546132596,1
2367099,8754713324,1
2391434,7732423082,2
2796190,4934875933,0
2367388,5720945437,2
2894831,5520861234,0
2951216,6297501863,2
2629292,6597520357,2
2683270,6157546524,2
2484090,10907039209,1
2742527,4690848847,0
2568064,5078844729,0
2552919,4954569780,0
3095792,7867509418,2
2849265,5718602350,2
3368841,3202139403,0
2818066,3941004606,0
2729992,5773974384,2
2862776,8509666600,1
3165989,8272776909,2
2612880,6341404631,2
2689174,6100694585,2
2519384,8081476487,2
2495003,6971070384,2
3092952,6653590482,2
3147586,7509971353,2
2745278,9353665227,1
2537417,7482431175,2
2852134,6526919393,2
2831020,8000200925,2
2729716,7501923026,2
2811764,3123837309,0
2450586,4169018380,0
2435458,5955044161,2
3759618,7524436328,2
2591664,6391100440,2
2471324,6771058009,2
3388508,8876614379,1
2791890,7262266757,2
3084747,6405549401,2
3117705,5034528290,0
3036428,6914231959,2
3072617,6128449847,2
2832093,5012964267,0
2778465,4144860813,0
